id,title,author,text,label
0,Newly Discovered Document Proves Shakespeare Was Actually a Time Traveler - ID 0,Anonymous Source,A controversial study published on a wellness blog claims that popular green vegetables contain hidden chemicals designed to disrupt human cells. The author advises readers to swap fresh green vegetables for synthetic nutrient pills manufactured by his company. State regulators have filed a warning against these claims.,1
1,Global Summit Agrees on New Carbon Emission Reduction Targets - ID 1,Reporter 18,"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter.",0
2,ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - ID 2,Anonymous Source,"Astronomers at a private observatory have sounded the alarm on an incoming celestial body. Despite official space agency statements claiming the object will pass harmlessly, independent experts suggest a total direct impact is inevitable by next Tuesday. Stock up on supplies immediately before markets close.",1
3,WHO Approves New Malaria Vaccine for Distribution in Africa - ID 3,Reporter 20,"The World Health Organization has officially cleared a breakthrough malaria vaccine for pediatric use. After successful Phase III clinical trials involving over ten thousand children, the vaccine proved to be 78% effective at preventing severe infections. Health ministers across sub-Saharan Africa welcomed the announcement.",0
4,PROOF: Government Uses Weather Satellites to Control Local Election Results - ID 4,Anonymous Source,"A shocking new report circulating on social media claims that recent shifts in storm patterns were fully artificial. Analysts claim that weather-altering lasers mounted on communication arrays were activated during the primary elections. While official spokesmen denied the claims, local online activists say they have raw frequency logs.",1
5,Newly Discovered Document Proves Shakespeare Was Actually a Time Traveler - ID 5,Anonymous Source,"A leaked intelligence document reveals a massive operation involving underground facilities. According to anonymous sources within the department, scientists have successfully integrated foreign genetic material into local crop cycles. Critics claim the media is keeping quiet to avoid global panic, but whistleblowers suggest the experiment has been running since 1998.",1
6,SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - ID 6,Anonymous Source,"In a shocking development, leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the Mediterranean. The reports claim he plans to establish a private zone free from data privacy regulations. Officials have not commented on the authenticity of the emails.",1
7,PROOF: Government Uses Weather Satellites to Control Local Election Results - ID 7,Anonymous Source,A controversial study published on a wellness blog claims that popular green vegetables contain hidden chemicals designed to disrupt human cells. The author advises readers to swap fresh green vegetables for synthetic nutrient pills manufactured by his company. State regulators have filed a warning against these claims.,1
8,Federal Reserve Keeps Interest Rates Steady Amid Cooling Inflation - ID 8,Reporter 4,"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data.",0
9,Japan Launches Next-Generation Satellite to Track Climate Change Impacts - ID 9,Reporter 3,"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data.",0
10,Lionel Messi Leads Inter Miami to Historical League Victory - ID 10,Reporter 8,"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data.",0
