statement,label,subject,speaker,job_title,state_info,party_affiliation
Retail Sales Rise Unexpectedly in May Indicating Strong Economy - verified claim 0,Half True,health,politician_1,Senator,Texas,republican
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - unverified claim 1,Barely True,worldnews,politician_11,Blogger,New York,independent
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 2,Mostly True,finance,politician_14,Senator,California,republican
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - unverified claim 3,Barely True,worldnews,politician_5,Blogger,California,independent
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - unverified claim 4,Barely True,sports,politician_9,Blogger,Texas,independent
PROOF: Government Uses Weather Satellites to Control Local Election Results - unverified claim 5,False,finance,politician_13,Blogger,Texas,independent
Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure - verified claim 6,Half True,health,politician_17,Senator,Texas,democrat
Apple Unveils M4 Pro Chips with Next-Generation AI Engines - verified claim 7,Mostly True,worldnews,politician_11,Senator,Texas,republican
Senate Passes Landmark Infrastructure Bill with Bipartisan Support - verified claim 8,Mostly True,politics,politician_11,Senator,Texas,republican
Lionel Messi Leads Inter Miami to Historical League Victory - verified claim 9,True,sports,politician_6,Senator,Florida,republican
Doctors Warn: Eating Broccoli Could Turn Your Immune System Against You - unverified claim 10,Pants on Fire,health,politician_3,Blogger,New York,independent
SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - unverified claim 11,Pants on Fire,worldnews,politician_3,Blogger,California,independent
Japan Launches Next-Generation Satellite to Track Climate Change Impacts - verified claim 12,True,sports,politician_20,Senator,Florida,democrat
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - unverified claim 13,False,worldnews,politician_19,Blogger,Texas,independent
BREAKING: Area 51 Opens Gates to Public Following Unprecedented Hack - unverified claim 14,Barely True,worldnews,politician_2,Blogger,New York,independent
ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - unverified claim 15,Pants on Fire,technology,politician_15,Blogger,New York,independent
BREAKING: Area 51 Opens Gates to Public Following Unprecedented Hack - unverified claim 16,Barely True,politics,politician_1,Blogger,Texas,independent
Retail Sales Rise Unexpectedly in May Indicating Strong Economy - verified claim 17,True,finance,politician_17,Senator,Texas,democrat
Federal Reserve Keeps Interest Rates Steady Amid Cooling Inflation - verified claim 18,Mostly True,finance,politician_17,Senator,Florida,democrat
