title,text,subject,date,label,cleaned_text,word_count,char_count,avg_sentence_len,readability
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers !!! (MUST SEE: 1053),"Astronomers at a private observatory have sounded the alarm on an incoming celestial body. Despite official space agency statements claiming the object will pass harmlessly, independent experts suggest a total direct impact is inevitable by next Tuesday. Stock up on supplies immediately before markets close. Share this now before it gets taken down by the mainstream media!",politics,"June 3, 2024",1,astronomers at a private observatory have sounded the alarm on an incoming celestial body despite official space agency statements claiming the object will pass harmlessly independent experts suggest a total direct impact is inevitable by next tuesday stock up on supplies immediately before markets close share this now before it gets taken down by the mainstream media,57,375,11.4,8.253473684210519
Newly Discovered Document Proves Shakespeare Was Actually a Time Traveler !!! (MUST SEE: 1116),A controversial study published on a wellness blog claims that popular green vegetables contain hidden chemicals designed to disrupt human cells. The author advises readers to swap fresh green vegetables for synthetic nutrient pills manufactured by his company. State regulators have filed a warning against these claims. Share this now before it gets taken down by the mainstream media!,Middle-East,"June 8, 2024",1,a controversial study published on a wellness blog claims that popular green vegetables contain hidden chemicals designed to disrupt human cells the author advises readers to swap fresh green vegetables for synthetic nutrient pills manufactured by his company state regulators have filed a warning against these claims share this now before it gets taken down by the mainstream media,59,387,11.8,18.488508474576264
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice !!! (MUST SEE: 1002),"In a shocking development, leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the Mediterranean. The reports claim he plans to establish a private zone free from data privacy regulations. Officials have not commented on the authenticity of the emails. Share this now before it gets taken down by the mainstream media!",Middle-East,"June 12, 2024",1,in a shocking development leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the mediterranean the reports claim he plans to establish a private zone free from data privacy regulations officials have not commented on the authenticity of the emails share this now before it gets taken down by the mainstream media,58,366,11.6,12.733413793103438
NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing (Ref: 1009),"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference. This official report was verified by local bureaus.",health,"June 21, 2024",0,in a major legislative victory the senate has passed a sweeping infrastructure bill yesterday the legislation which was approved with a 6832 bipartisan vote earmarks billions of dollars for highway improvements clean water initiatives and highspeed broadband expansion this is a historic investment in our nations future the president remarked during a press conference this official report was verified by local bureaus,62,435,12.4,0.0
ALERT: Major Banks to Wipe Out All Customer Balances by Midnight !!! (MUST SEE: 1083),"In a shocking development, leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the Mediterranean. The reports claim he plans to establish a private zone free from data privacy regulations. Officials have not commented on the authenticity of the emails. Share this now before it gets taken down by the mainstream media!",left-news,"June 2, 2024",1,in a shocking development leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the mediterranean the reports claim he plans to establish a private zone free from data privacy regulations officials have not commented on the authenticity of the emails share this now before it gets taken down by the mainstream media,58,366,11.6,12.733413793103438
SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities !!! (MUST SEE: 1076),"A shocking new report circulating on social media claims that recent shifts in storm patterns were fully artificial. Analysts claim that weather-altering lasers mounted on communication arrays were activated during the primary elections. While official spokesmen denied the claims, local online activists say they have raw frequency logs. Share this now before it gets taken down by the mainstream media!",Middle-East,"June 25, 2024",1,a shocking new report circulating on social media claims that recent shifts in storm patterns were fully artificial analysts claim that weatheraltering lasers mounted on communication arrays were activated during the primary elections while official spokesmen denied the claims local online activists say they have raw frequency logs share this now before it gets taken down by the mainstream media,60,404,12.0,4.305000000000007
Leaked Audio: Famous Actor Admits to Being a Hologram Controlled by AI !!! (MUST SEE: 1046),"In a shocking development, leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the Mediterranean. The reports claim he plans to establish a private zone free from data privacy regulations. Officials have not commented on the authenticity of the emails. Share this now before it gets taken down by the mainstream media!",left-news,"June 24, 2024",1,in a shocking development leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the mediterranean the reports claim he plans to establish a private zone free from data privacy regulations officials have not commented on the authenticity of the emails share this now before it gets taken down by the mainstream media,58,366,11.6,12.733413793103438
Apple Unveils M4 Pro Chips with Next-Generation AI Engines (Ref: 1109),"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter. This official report was verified by local bureaus.",worldnews,"June 3, 2024",0,in an electric performance lionel messi scored twice and assisted a third goal to lead inter miami to victory the match which drew a record crowd of seventy thousand fans marks the clubs first major trophy since the restructuring of its tactical staff last winter this official report was verified by local bureaus,53,321,13.25,38.55228773584909
Japan Launches Next-Generation Satellite to Track Climate Change Impacts (Ref: 1005),Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month. This official report was verified by local bureaus.,finance,"June 28, 2024",0,apple inc announced its latest silicon chips today during a keynote event at cupertino the new m4 pro architecture features dedicated hardware accelerators for large language models experts note this move places apple at the forefront of local machinelearning computation on personal computers shipments are expected to begin early next month this official report was verified by local bureaus,59,400,8.428571428571429,3.269830508474598
SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities !!! (MUST SEE: 1025),"In a shocking development, leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the Mediterranean. The reports claim he plans to establish a private zone free from data privacy regulations. Officials have not commented on the authenticity of the emails. Share this now before it gets taken down by the mainstream media!",US_News,"June 8, 2024",1,in a shocking development leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the mediterranean the reports claim he plans to establish a private zone free from data privacy regulations officials have not commented on the authenticity of the emails share this now before it gets taken down by the mainstream media,58,366,11.6,12.733413793103438
