title,text,subject,date
Doctors Warn: Eating Broccoli Could Turn Your Immune System Against You !!! (MUST SEE: 1000),"A shocking new report circulating on social media claims that recent shifts in storm patterns were fully artificial. Analysts claim that weather-altering lasers mounted on communication arrays were activated during the primary elections. While official spokesmen denied the claims, local online activists say they have raw frequency logs. Share this now before it gets taken down by the mainstream media!",politics,"June 7, 2024"
Newly Discovered Document Proves Shakespeare Was Actually a Time Traveler !!! (MUST SEE: 1001),"Astronomers at a private observatory have sounded the alarm on an incoming celestial body. Despite official space agency statements claiming the object will pass harmlessly, independent experts suggest a total direct impact is inevitable by next Tuesday. Stock up on supplies immediately before markets close. Share this now before it gets taken down by the mainstream media!",politics,"June 15, 2024"
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice !!! (MUST SEE: 1002),"In a shocking development, leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the Mediterranean. The reports claim he plans to establish a private zone free from data privacy regulations. Officials have not commented on the authenticity of the emails. Share this now before it gets taken down by the mainstream media!",Middle-East,"June 12, 2024"
Doctors Warn: Eating Broccoli Could Turn Your Immune System Against You !!! (MUST SEE: 1003),"In a shocking development, leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the Mediterranean. The reports claim he plans to establish a private zone free from data privacy regulations. Officials have not commented on the authenticity of the emails. Share this now before it gets taken down by the mainstream media!",politics,"June 9, 2024"
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice !!! (MUST SEE: 1004),"Astronomers at a private observatory have sounded the alarm on an incoming celestial body. Despite official space agency statements claiming the object will pass harmlessly, independent experts suggest a total direct impact is inevitable by next Tuesday. Stock up on supplies immediately before markets close. Share this now before it gets taken down by the mainstream media!",US_News,"June 21, 2024"
Newly Discovered Document Proves Shakespeare Was Actually a Time Traveler !!! (MUST SEE: 1005),"A shocking new report circulating on social media claims that recent shifts in storm patterns were fully artificial. Analysts claim that weather-altering lasers mounted on communication arrays were activated during the primary elections. While official spokesmen denied the claims, local online activists say they have raw frequency logs. Share this now before it gets taken down by the mainstream media!",US_News,"June 7, 2024"
Doctors Warn: Eating Broccoli Could Turn Your Immune System Against You !!! (MUST SEE: 1006),"A leaked intelligence document reveals a massive operation involving underground facilities. According to anonymous sources within the department, scientists have successfully integrated foreign genetic material into local crop cycles. Critics claim the media is keeping quiet to avoid global panic, but whistleblowers suggest the experiment has been running since 1998. Share this now before it gets taken down by the mainstream media!",US_News,"June 3, 2024"
PROOF: Government Uses Weather Satellites to Control Local Election Results !!! (MUST SEE: 1007),"A shocking new report circulating on social media claims that recent shifts in storm patterns were fully artificial. Analysts claim that weather-altering lasers mounted on communication arrays were activated during the primary elections. While official spokesmen denied the claims, local online activists say they have raw frequency logs. Share this now before it gets taken down by the mainstream media!",US_News,"June 28, 2024"
NASA Confirms Giant Asteroid Will Wipe Out Earth Next Tuesday (NASA Tries to Hide It!) !!! (MUST SEE: 1008),"Astronomers at a private observatory have sounded the alarm on an incoming celestial body. Despite official space agency statements claiming the object will pass harmlessly, independent experts suggest a total direct impact is inevitable by next Tuesday. Stock up on supplies immediately before markets close. Share this now before it gets taken down by the mainstream media!",Middle-East,"June 17, 2024"
Leaked Audio: Famous Actor Admits to Being a Hologram Controlled by AI !!! (MUST SEE: 1009),"A shocking new report circulating on social media claims that recent shifts in storm patterns were fully artificial. Analysts claim that weather-altering lasers mounted on communication arrays were activated during the primary elections. While official spokesmen denied the claims, local online activists say they have raw frequency logs. Share this now before it gets taken down by the mainstream media!",Middle-East,"June 20, 2024"
Leaked Audio: Famous Actor Admits to Being a Hologram Controlled by AI !!! (MUST SEE: 1010),"In a shocking development, leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the Mediterranean. The reports claim he plans to establish a private zone free from data privacy regulations. Officials have not commented on the authenticity of the emails. Share this now before it gets taken down by the mainstream media!",US_News,"June 24, 2024"
Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice !!! (MUST SEE: 1011),"In a shocking development, leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the Mediterranean. The reports claim he plans to establish a private zone free from data privacy regulations. Officials have not commented on the authenticity of the emails. Share this now before it gets taken down by the mainstream media!",US_News,"June 3, 2024"
Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers !!! (MUST SEE: 1012),"A leaked intelligence document reveals a massive operation involving underground facilities. According to anonymous sources within the department, scientists have successfully integrated foreign genetic material into local crop cycles. Critics claim the media is keeping quiet to avoid global panic, but whistleblowers suggest the experiment has been running since 1998. Share this now before it gets taken down by the mainstream media!",politics,"June 26, 2024"
